lat,long,hour,crime_score,crowd_density,risk
16.5332,80.6993,10,0.35,0.38,Safe
16.5121,80.6566,17,0.58,0.19,Moderate
16.5435,80.6867,7,0.97,0.99,Moderate
16.5108,80.6473,9,0.7,0.71,Moderate
16.5327,80.6408,20,0.17,0.19,Safe
16.5424,80.6453,21,0.68,0.61,Moderate
16.5194,80.679,23,0.57,0.2,Moderate
16.5339,80.6717,19,0.81,0.64,Moderate
16.5071,80.6588,21,0.12,0.28,Safe
16.5241,80.6612,6,0.58,0.21,Moderate
16.5264,80.6672,7,0.75,0.16,Moderate
16.5253,80.664,13,0.61,0.75,Moderate
16.5206,80.6705,13,0.73,0.92,Moderate
16.5171,80.6459,10,0.17,0.05,Safe
16.525,80.6687,0,0.61,0.26,High
16.5305,80.6768,15,0.59,0.8,Moderate
16.5095,80.6844,18,0.46,0.74,Moderate
16.5133,80.6412,8,0.84,0.91,Moderate
16.54,80.6459,1,0.61,0.41,Moderate
16.5352,80.6538,1,0.97,0.79,Moderate
16.5385,80.6412,6,0.72,0.85,Moderate
16.5406,80.6869,13,0.74,0.42,Moderate
16.5259,80.6897,5,0.62,0.24,High
16.532,80.6692,8,0.85,0.12,Moderate
16.5452,80.658,11,0.52,0.87,Moderate
16.5436,80.6592,0,0.66,0.04,High
16.5205,80.6765,16,0.77,0.5,Moderate
16.5375,80.6925,6,0.82,0.49,Moderate
16.5457,80.681,3,0.47,0.84,Moderate
16.543,80.6965,6,0.2,0.88,Safe
16.5262,80.6804,10,0.2,0.59,Safe
16.5423,80.6869,4,0.21,0.96,Safe
16.5345,80.6677,11,0.59,0.09,Moderate
16.5048,80.6406,7,0.15,0.73,Safe
16.5495,80.6583,6,0.04,0.3,Safe
16.5093,80.6704,18,0.49,0.93,Moderate
16.5234,80.654,17,0.3,0.63,Safe
16.5289,80.6604,2,0.92,0.78,Moderate
16.5385,80.6712,14,0.09,0.63,Safe
16.5263,80.6973,3,0.85,0.48,Moderate
16.5372,80.6999,1,0.46,0.71,Moderate
16.5376,80.6687,0,0.72,0.83,Moderate
16.5346,80.6682,0,0.07,0.56,Safe
16.5006,80.6998,18,0.61,0.48,Moderate
16.5195,80.6707,2,0.99,0.14,High
16.5474,80.6676,2,0.55,0.0,Moderate
16.5394,80.6626,19,0.16,0.2,Safe
16.5271,80.6576,17,0.09,0.28,Safe
16.5073,80.6798,7,0.66,0.19,Moderate
16.5473,80.6523,8,0.73,0.51,Moderate
16.5342,80.6941,19,0.43,0.11,Moderate
16.544,80.686,3,0.65,0.94,Moderate
16.5424,80.666,18,0.3,0.39,Safe
16.5163,80.646,19,0.69,0.55,Moderate
16.5076,80.6519,9,0.19,0.69,Safe
16.5261,80.6566,18,0.11,0.54,Safe
16.5134,80.6832,4,0.49,0.94,Moderate
16.5181,80.6643,5,0.21,0.69,Safe
16.5348,80.6608,19,0.4,0.86,Safe
16.5269,80.6902,10,0.71,0.74,Moderate
16.5061,80.6758,8,0.26,0.46,Safe
16.5382,80.6899,2,0.73,0.98,Moderate
16.5078,80.642,18,0.58,0.16,Moderate
16.5015,80.648,6,0.84,0.42,Moderate
16.536,80.6831,16,0.79,0.87,Moderate
16.5486,80.6774,7,0.67,0.19,Moderate
16.5385,80.6673,17,0.05,0.91,Safe
16.5258,80.6798,8,0.97,0.59,Moderate
16.5428,80.6573,11,0.41,0.55,Moderate
16.5014,80.6992,21,0.33,0.89,Safe
16.5136,80.6424,8,0.72,0.4,Moderate
16.5353,80.6588,9,0.1,0.22,Safe
16.5147,80.6915,14,0.53,0.12,Moderate
16.5089,80.645,14,0.66,0.88,Moderate
16.5204,80.6416,20,0.7,0.72,Moderate
16.5049,80.6914,23,0.83,0.13,High
16.5346,80.6759,6,0.69,0.08,Moderate
16.5233,80.6779,23,0.51,0.61,Moderate
16.5019,80.6705,18,0.97,0.38,Moderate
16.5119,80.6994,19,0.16,0.9,Safe
16.52,80.6866,0,0.89,0.44,Moderate
16.528,80.6478,22,0.32,0.67,Safe
16.5225,80.6936,14,0.6,0.24,Moderate
16.5032,80.6704,17,0.26,0.59,Safe
16.5497,80.6571,1,0.35,0.19,Safe
16.5095,80.6808,7,0.04,0.31,Safe
16.5432,80.6762,2,0.97,0.11,High
16.5465,80.6904,12,0.88,0.77,Moderate
16.5329,80.6837,14,0.17,0.76,Safe
16.5089,80.6772,17,0.33,0.7,Safe
16.5402,80.6539,7,0.93,0.08,Moderate
16.5156,80.6464,3,0.51,0.74,Moderate
16.5494,80.6586,20,0.85,0.26,High
16.5334,80.6563,4,0.11,0.56,Safe
16.517,80.6467,11,0.0,0.55,Safe
16.5284,80.6636,18,0.08,0.18,Safe
16.5295,80.6985,14,0.3,0.08,Safe
16.5194,80.6718,4,0.94,0.08,High
16.5434,80.6904,7,0.86,0.71,Moderate
16.5459,80.6912,12,0.79,0.16,Moderate
16.5029,80.6521,13,0.61,0.29,Moderate
16.5169,80.6984,0,0.42,0.05,Moderate
16.5296,80.651,5,0.69,0.19,High
16.5127,80.6619,8,0.84,0.15,Moderate
16.54,80.6947,22,0.16,0.94,Safe
16.5493,80.6835,6,0.79,0.37,Moderate
16.5197,80.6747,15,0.28,0.4,Safe
16.5008,80.6677,12,0.61,0.31,Moderate
16.5003,80.6547,0,0.52,0.64,Moderate
16.5142,80.674,1,0.27,0.38,Safe
16.5323,80.6629,6,0.22,0.11,Safe
16.5272,80.6805,3,0.71,0.69,Moderate
16.519,80.6504,20,0.27,0.27,Safe
16.5195,80.6823,22,0.02,0.58,Safe
16.5047,80.6796,10,0.23,0.28,Safe
16.5345,80.6869,3,0.07,0.78,Safe
16.5243,80.6908,9,0.36,0.54,Safe
16.5314,80.6894,22,0.04,0.55,Safe
16.5375,80.6973,16,0.56,0.5,Moderate
16.5282,80.6837,11,0.85,0.58,Moderate
16.503,80.6909,23,0.5,0.65,Moderate
16.5331,80.6701,22,0.18,0.42,Safe
16.5297,80.6933,23,0.71,0.92,Moderate
16.5014,80.6637,15,0.16,0.46,Safe
16.5302,80.6678,10,0.65,0.55,Moderate
16.5079,80.6423,0,0.31,0.2,Safe
16.5246,80.6625,22,0.73,0.74,Moderate
16.5033,80.653,17,0.21,0.99,Safe
16.5054,80.6949,20,0.4,0.95,Safe
16.5459,80.675,6,0.85,0.9,Moderate
16.5406,80.6523,9,0.55,0.7,Moderate
16.5448,80.6517,1,0.36,0.04,Safe
16.5363,80.6928,12,0.63,0.27,Moderate
16.5213,80.6808,8,0.48,0.7,Moderate
16.5278,80.694,22,0.29,0.86,Safe
16.5468,80.6707,23,0.48,0.43,Moderate
16.5047,80.6518,5,0.58,0.38,Moderate
16.5259,80.6876,17,0.2,0.5,Safe
16.542,80.6684,12,0.49,0.23,Moderate
16.536,80.6854,3,0.64,0.26,High
16.5022,80.6973,7,0.02,0.25,Safe
16.5114,80.6661,23,0.12,0.07,Safe
16.5011,80.6515,16,0.68,0.52,Moderate
16.5375,80.6454,1,0.49,0.02,Moderate
16.5308,80.6461,2,0.05,0.88,Safe
16.5284,80.6597,3,0.99,0.62,Moderate
16.5397,80.6766,11,0.75,0.54,Moderate
16.5423,80.6568,15,0.41,0.67,Moderate
16.5159,80.694,17,0.39,0.65,Safe
16.514,80.6953,3,0.41,0.71,Moderate
16.5134,80.6843,14,0.47,0.0,Moderate
16.5214,80.6527,18,0.1,0.72,Safe
16.5019,80.69,23,0.96,0.23,High
16.5207,80.6917,9,0.77,0.72,Moderate
16.5308,80.6562,3,0.74,0.48,Moderate
16.5195,80.669,23,0.31,0.27,Safe
16.5108,80.6437,12,0.11,0.15,Safe
16.5038,80.694,18,0.81,0.04,Moderate
16.5297,80.6906,6,0.9,0.62,Moderate
16.54,80.6989,8,0.01,0.8,Safe
16.5318,80.6416,14,0.73,0.75,Moderate
16.5292,80.666,14,0.54,0.33,Moderate
16.5088,80.6878,1,0.74,0.21,High
16.5313,80.6669,9,0.47,0.5,Moderate
16.5324,80.6491,20,0.81,0.62,Moderate
16.5404,80.6873,9,0.04,0.08,Safe
16.503,80.6544,16,0.36,0.82,Safe
16.5233,80.6596,3,0.85,0.0,High
16.51,80.6552,17,0.38,0.17,Safe
16.5366,80.6998,9,0.1,0.45,Safe
16.5313,80.679,7,0.17,0.59,Safe
16.5325,80.6935,22,0.27,0.39,Safe
16.5241,80.6742,22,0.87,0.98,Moderate
16.5444,80.678,2,0.59,0.11,Moderate
16.5086,80.6557,16,0.84,0.69,Moderate
16.5402,80.665,7,0.24,0.7,Safe
16.5312,80.6448,1,0.92,0.84,Moderate
16.5381,80.6482,19,0.23,0.24,Safe
16.5035,80.693,17,0.97,0.4,Moderate
16.5429,80.6706,1,0.17,0.35,Safe
16.5007,80.659,11,0.28,0.77,Safe
16.5113,80.6887,17,0.01,0.05,Safe
16.5435,80.6515,2,0.4,0.45,Safe
16.5085,80.6486,17,0.93,0.76,Moderate
16.5195,80.6481,16,0.38,0.47,Safe
16.5159,80.6452,20,0.72,0.95,Moderate
16.529,80.6845,7,0.99,0.42,Moderate
16.5455,80.673,21,0.79,0.24,High
16.5182,80.6699,17,0.58,0.39,Moderate
16.5343,80.6922,15,0.84,0.44,Moderate
16.5436,80.6762,1,0.26,0.45,Safe
16.54,80.6777,7,0.89,0.94,Moderate
16.55,80.6924,18,0.03,0.74,Safe
16.5458,80.6405,11,0.83,0.14,Moderate
16.541,80.6854,18,0.51,0.9,Moderate
16.5354,80.6654,13,0.62,0.24,Moderate
16.5295,80.6699,14,0.49,0.08,Moderate
16.513,80.6812,20,0.24,0.3,Safe
16.534,80.6523,9,0.41,0.36,Moderate
16.5446,80.6496,15,0.84,0.57,Moderate
16.5399,80.6715,20,0.92,0.41,Moderate
16.524,80.6536,14,0.58,0.98,Moderate
16.5386,80.6644,23,0.61,0.53,Moderate
16.5355,80.6489,8,0.24,0.89,Safe
16.5249,80.6643,14,0.09,0.75,Safe
16.5017,80.6456,16,0.02,0.04,Safe
16.5004,80.6716,15,0.17,0.3,Safe
16.502,80.6406,15,0.69,0.27,Moderate
16.5249,80.6788,11,0.02,0.9,Safe
16.547,80.6793,5,0.47,0.19,Moderate
16.5031,80.6403,5,0.62,0.64,Moderate
16.5334,80.6539,16,0.74,0.56,Moderate
16.5117,80.6752,7,0.15,0.87,Safe
16.5378,80.6564,4,0.4,0.77,Safe
16.5252,80.6606,21,0.23,0.99,Safe
16.5253,80.6891,17,0.95,0.02,Moderate
16.5445,80.6646,9,0.83,0.36,Moderate
16.5109,80.6662,13,0.2,0.8,Safe
16.5465,80.678,19,0.24,0.65,Safe
16.5366,80.6942,4,0.27,0.13,Safe
16.5409,80.6518,0,0.18,0.4,Safe
16.5393,80.6587,18,0.47,0.88,Moderate
16.5499,80.6635,19,0.6,0.07,Moderate
16.5159,80.6845,16,0.46,0.33,Moderate
16.5459,80.6891,11,0.37,0.43,Safe
16.5355,80.6567,0,0.72,0.87,Moderate
16.5385,80.6928,20,0.41,0.12,Moderate
16.5281,80.6499,20,0.84,0.08,High
16.5236,80.6636,14,0.54,0.57,Moderate
16.5068,80.6979,0,0.62,0.1,High
16.5459,80.6887,13,0.5,0.22,Moderate
16.5084,80.6629,5,0.15,0.84,Safe
16.5405,80.646,7,0.83,0.99,Moderate
16.5311,80.6958,20,0.32,0.6,Safe
16.5211,80.6441,15,0.49,0.36,Moderate
16.5319,80.6874,8,0.27,0.23,Safe
16.5357,80.6883,11,0.27,0.97,Safe
16.5216,80.6628,3,0.48,0.72,Moderate
16.537,80.6592,20,0.24,0.24,Safe
16.5286,80.6488,15,0.87,0.54,Moderate
16.5367,80.6787,7,0.14,0.4,Safe
16.5404,80.6706,23,0.97,0.99,Moderate
16.5286,80.6698,3,0.82,0.5,Moderate
16.5441,80.6913,14,0.96,0.69,Moderate
16.5412,80.6866,4,0.68,0.55,Moderate
16.5008,80.6409,23,0.42,0.48,Moderate
16.5443,80.6842,20,0.89,0.12,High
16.5175,80.6526,19,0.03,0.84,Safe
16.545,80.6699,8,0.08,0.15,Safe
16.5225,80.6911,13,0.65,0.24,Moderate
16.5273,80.6764,3,0.87,0.91,Moderate
16.5349,80.6553,8,0.41,0.89,Moderate
16.5172,80.6859,12,0.43,0.31,Moderate
16.5029,80.6559,0,0.53,0.88,Moderate
16.5484,80.6698,9,0.04,0.37,Safe
16.5029,80.667,10,0.37,0.04,Safe
16.5249,80.6481,16,0.13,0.99,Safe
16.5382,80.664,3,0.17,0.4,Safe
16.54,80.6425,2,0.62,0.6,Moderate
16.5295,80.6826,1,0.78,0.89,Moderate
16.505,80.6861,21,0.75,0.9,Moderate
16.5465,80.6793,20,0.03,0.94,Safe
16.5176,80.6522,18,0.98,0.98,Moderate
16.5033,80.6962,2,0.24,0.99,Safe
16.507,80.68,22,0.79,0.49,Moderate
16.5441,80.6896,4,0.27,0.01,Safe
16.5125,80.6476,13,0.9,0.69,Moderate
16.5338,80.6919,18,0.12,0.52,Safe
16.5326,80.6483,3,0.45,0.12,Moderate
16.5179,80.6529,10,0.88,0.02,Moderate
16.5366,80.688,15,0.95,0.97,Moderate
16.5164,80.6652,17,0.66,0.96,Moderate
16.5256,80.6973,20,0.66,0.13,High
16.5141,80.6764,20,0.86,0.94,Moderate
16.513,80.6917,20,0.48,0.06,Moderate
16.5333,80.6421,1,0.48,0.41,Moderate
16.5224,80.6458,22,0.34,0.17,Safe
16.5192,80.6413,21,0.11,0.68,Safe
16.5004,80.6664,20,0.47,0.12,Moderate
16.5011,80.6649,4,0.58,0.72,Moderate
16.5436,80.6517,2,0.45,0.67,Moderate
16.5047,80.6414,21,0.18,0.08,Safe
16.5094,80.6691,0,0.22,0.88,Safe
16.5204,80.6616,6,0.38,0.73,Safe
16.5071,80.6403,3,0.63,0.88,Moderate
16.5445,80.6735,12,0.95,0.54,Moderate
16.5249,80.6472,16,0.78,0.29,Moderate
16.507,80.6553,5,0.92,0.85,Moderate
16.5006,80.6623,0,0.44,0.62,Moderate
16.502,80.643,13,0.04,0.98,Safe
16.5083,80.6725,2,0.67,0.11,High
16.5365,80.6821,20,0.0,0.23,Safe
16.5356,80.6559,5,0.97,0.41,Moderate
16.5332,80.6567,23,0.11,0.14,Safe
16.5077,80.6584,23,0.4,0.69,Safe
16.5424,80.6923,9,0.52,0.63,Moderate
16.5202,80.6518,22,0.95,0.14,High
16.5477,80.6791,12,0.09,0.99,Safe
16.5073,80.672,15,0.94,0.81,Moderate
16.5193,80.6415,22,0.42,0.12,Moderate
16.5451,80.6612,3,0.9,0.7,Moderate
16.544,80.6517,21,0.26,0.23,Safe
16.5115,80.6538,2,0.97,0.5,Moderate
16.5116,80.6779,3,0.77,0.98,Moderate
16.5183,80.6695,0,0.27,0.52,Safe
16.5357,80.6416,8,0.23,0.13,Safe
16.545,80.6676,16,0.34,0.14,Safe
16.5053,80.6946,20,0.32,0.57,Safe
16.5479,80.6726,7,0.4,0.43,Safe
16.5191,80.6412,6,0.88,0.86,Moderate
16.5165,80.6518,8,0.54,0.79,Moderate
16.5277,80.6877,23,0.56,0.52,Moderate
16.5115,80.699,6,0.55,0.88,Moderate
16.5161,80.6459,5,0.68,0.23,High
16.548,80.6574,21,0.94,0.75,Moderate
16.51,80.6738,23,0.05,0.78,Safe
16.5334,80.6579,18,0.01,0.5,Safe
16.5044,80.6582,21,0.96,0.72,Moderate
16.5032,80.6636,4,0.13,0.76,Safe
16.5103,80.6667,23,0.35,0.09,Safe
16.5076,80.688,20,0.19,0.31,Safe
16.547,80.6918,8,0.93,0.34,Moderate
16.5297,80.6445,8,0.58,0.28,Moderate
16.5339,80.6854,12,0.38,0.09,Safe
16.5112,80.6584,4,0.52,0.06,Moderate
16.5383,80.6459,18,0.66,0.18,Moderate
16.5292,80.6442,1,0.28,0.39,Safe
16.5388,80.6725,5,0.21,0.5,Safe
16.512,80.6934,15,0.55,0.89,Moderate
16.546,80.6634,10,0.97,0.87,Moderate
16.5373,80.691,17,0.11,0.91,Safe
16.5491,80.6488,23,0.3,0.08,Safe
16.5245,80.6512,4,0.65,0.67,Moderate
16.5082,80.6966,4,0.48,0.44,Moderate
16.5476,80.6461,20,0.71,0.38,High
16.5242,80.6599,8,0.31,0.54,Safe
16.5441,80.6539,23,0.08,0.65,Safe
16.517,80.6473,18,0.89,0.0,Moderate
16.5151,80.6659,19,0.2,0.72,Safe
16.5074,80.6986,13,0.1,0.14,Safe
16.5346,80.6794,0,0.98,0.34,High
16.5274,80.6507,18,0.45,0.03,Moderate
16.5351,80.6916,19,0.45,0.13,Moderate
16.5071,80.6583,0,0.74,0.02,High
16.5314,80.6883,11,0.34,0.8,Safe
16.5116,80.6532,8,0.43,0.45,Moderate
16.5015,80.6781,23,0.15,0.62,Safe
16.5492,80.6826,0,0.08,0.38,Safe
16.53,80.6983,22,0.21,0.4,Safe
16.5347,80.6773,20,0.49,0.87,Moderate
16.5116,80.6876,23,0.98,0.26,High
16.5119,80.6979,15,0.18,0.1,Safe
16.5045,80.6645,13,0.02,0.5,Safe
16.514,80.6465,23,0.47,0.1,Moderate
16.526,80.657,3,0.91,0.2,High
16.537,80.6967,22,0.76,0.17,High
16.5423,80.6536,8,0.47,0.87,Moderate
16.5331,80.6646,1,0.02,0.5,Safe
16.5207,80.6901,14,0.25,0.81,Safe
16.5188,80.6724,5,0.74,0.91,Moderate
16.5409,80.6912,9,0.04,0.73,Safe
16.5261,80.6777,7,0.92,0.2,Moderate
16.5094,80.6565,5,0.24,0.25,Safe
16.5343,80.6814,1,0.19,0.57,Safe
16.5314,80.641,19,0.51,0.41,Moderate
16.5171,80.6502,12,0.63,0.17,Moderate
16.5138,80.6406,11,0.7,0.65,Moderate
16.5039,80.6658,19,0.62,0.09,Moderate
16.5287,80.6787,17,0.31,0.8,Safe
16.5453,80.6786,9,0.81,0.69,Moderate
16.5067,80.6612,20,0.75,0.25,High
16.5181,80.6841,1,0.74,0.33,High
16.539,80.6972,22,0.98,0.36,High
16.5037,80.6663,22,0.98,0.31,High
16.5484,80.6513,12,0.08,0.33,Safe
16.5315,80.6413,17,0.51,0.01,Moderate
16.5265,80.6793,21,0.99,0.48,Moderate
16.5413,80.6508,16,0.03,0.21,Safe
16.5413,80.6844,7,0.46,0.93,Moderate
16.5028,80.6977,4,0.7,0.31,High
16.5401,80.6743,7,0.97,0.57,Moderate
16.5474,80.6972,17,0.29,0.58,Safe
16.5083,80.6655,5,0.65,0.5,Moderate
16.5188,80.676,20,0.27,0.43,Safe
16.5153,80.6678,13,0.23,0.18,Safe
16.5426,80.6943,9,0.78,0.21,Moderate
16.5393,80.6506,17,0.12,0.22,Safe
16.5061,80.674,16,0.55,0.55,Moderate
16.5138,80.683,10,0.89,0.3,Moderate
16.5104,80.6422,12,0.28,0.98,Safe
16.542,80.676,7,0.95,0.31,Moderate
16.518,80.6864,12,0.52,0.22,Moderate
16.5121,80.6622,17,0.15,0.68,Safe
16.5052,80.677,15,0.07,0.54,Safe
16.502,80.6938,14,0.38,0.11,Safe
16.5149,80.6443,15,0.32,0.87,Safe
16.5234,80.6422,10,0.69,0.19,Moderate
16.5461,80.6854,10,0.15,0.95,Safe
16.5087,80.6715,5,0.63,0.48,Moderate
16.5393,80.6846,21,0.45,0.94,Moderate
16.5174,80.6931,4,0.11,0.53,Safe
16.5362,80.6598,8,0.64,0.62,Moderate
16.5217,80.645,3,0.1,0.48,Safe
16.5177,80.6406,0,0.37,0.8,Safe
16.5352,80.6542,12,0.34,0.21,Safe
16.5114,80.6932,9,0.74,0.38,Moderate
16.505,80.6978,20,0.8,0.18,High
16.5347,80.6791,15,0.43,0.23,Moderate
16.5479,80.6882,5,0.55,0.52,Moderate
16.5253,80.661,8,0.85,0.6,Moderate
16.514,80.6631,22,0.74,0.99,Moderate
16.5171,80.6956,14,0.12,0.87,Safe
16.5103,80.6449,20,0.33,0.07,Safe
16.5032,80.6964,4,0.82,0.57,Moderate
16.5405,80.6517,11,0.23,0.04,Safe
16.5422,80.6514,2,0.44,0.11,Moderate
16.5389,80.6498,17,0.62,0.69,Moderate
16.5145,80.6822,4,0.44,0.55,Moderate
16.5187,80.6441,23,0.88,0.22,High
16.5028,80.6603,5,0.55,0.66,Moderate
16.5327,80.6467,17,0.45,0.87,Moderate
16.5492,80.6506,5,0.6,0.32,Moderate
16.5455,80.6518,4,0.96,0.81,Moderate
16.547,80.673,12,0.04,0.92,Safe
16.5329,80.6831,14,0.69,0.56,Moderate
